idx,sin,cos,anomaly
0,0.0019090906554693737,1.0019090906554693,0
1,0.007028421166663288,1.0062927584717372,0
2,0.0003314366370158093,0.9988595708431123,0
3,0.009107478091054137,1.0068988691922618,0
4,-0.003950149898981636,0.993103958489858,0
5,0.0009071591067423396,0.9972234455744586,0
6,0.00020209936012104655,0.9957800250969739,0
7,0.0005318222828501759,0.9953708488784068,0
8,0.009003659529938215,1.0031032489733636,0
9,0.0015863703476201836,0.9949459850279683,0
10,0.0004986285885781741,0.993117731295083,0
11,0.004799524309510737,0.9966775782318763,0
12,0.0035536511565281877,0.9946901198852193,0
13,0.016518447298388708,1.0069127948249206,0
14,0.016927827497112326,1.006579518214341,0
15,0.0023024532123683984,0.9912109519147801,0
16,0.011824634399331927,0.9999894062833324,0
17,0.002678992737600026,0.990099503401804,0
18,0.007201706229352803,0.9938774216748729,0
19,0.021365305388501198,1.0072956920192364,0
20,0.020472278121057782,1.0056568027439827,0
21,0.02442689188957972,1.0088650217150326,0
22,0.021185106201510123,1.0048763088434804,0
23,0.0230473226673523,1.0059910661437699,0
24,0.007880576087717,0.9900763288207383,0
25,0.013965219383142782,0.9954124501994395,0
26,0.025783364962498917,1.0064815430935445,0
27,0.010751118036240084,0.9906997131185975,0
28,0.028386881885957782,1.0075853639615657,0
29,0.029356271887437828,1.0078041114038976,0
30,0.013615490748237882,0.9913121585590995,0
31,0.020675628252143842,0.9976205956171925,0
32,0.027282083418527538,1.0034748220040697,0
33,0.020426389429835688,0.9958663713089843,0
34,0.026701576965324596,1.001388274618285,0
35,0.035417482767393066,1.009350369081748,0
36,0.022473019102362025,0.9956515673733569,0
37,0.021797186656211616,0.9942208705870393,0
38,0.03397386725024464,1.0056421609523303,0
39,0.026736075937899173,0.997648453931184,0
40,0.0200520866005156,0.9902080238137417,0
41,0.02953902367001522,0.9989379954410093,0
42,0.03435480426213014,1.0029962863380872,0
43,0.025471687512840076,0.9933551560506071,0
44,0.023584238785809352,0.9907091703521682,0
45,0.040666654672833605,1.0070325262447848,0
46,0.02991514730810885,0.9955214362731536,0
47,0.029917275411602703,0.9947634595680261,0
48,0.033969085639389884,0.9980546431965432,0
49,0.033911170897142046,0.9972355804757248,0
50,0.03359726000327753,0.9961600006356196,0
51,0.043530798508062366,1.0053313496384053,0
52,0.03370455440541429,0.9947423958901936,0
53,0.04313766879801517,1.0034122809061412,0
54,0.0400661075846779,0.9995769709978165,0
55,0.03910432067331102,0.997850916486165,0
56,0.04363851591458161,1.0016203256351712,0
57,0.05081168669435847,1.0080281922443015,0
