person,sensor,timestamp,date,x,y,z,label
E03,010-000-024-033,0.0,27.05.2009 11:22:49:130,0.3917240860506398,0.3432451848248088,0.44307398977565043,0
E03,010-000-030-096,9.051403969007055e-05,27.05.2009 11:22:49:157,0.4254190362192295,0.30140036794629715,0.50221254273713,0
E03,020-000-032-221,0.0002714882095760096,27.05.2009 11:22:49:210,0.45789682495441075,0.36172823701898726,0.6629168701768096,0
E03,010-000-030-096,0.00045248933420882764,27.05.2009 11:22:49:263,0.4363651781602846,0.29731137646951106,0.4903791800983362,0
E03,020-000-032-221,0.0006335174135889687,27.05.2009 11:22:49:320,0.4615524759959103,0.37630739635635424,0.6565001986258995,0
E03,010-000-024-033,0.0007239775437848373,27.05.2009 11:22:49:347,0.39322638772473506,0.36200679029088956,0.4677523997916056,0
E03,010-000-030-096,0.0008144915834744637,27.05.2009 11:22:49:373,0.46811989088543365,0.3316252086315783,0.44854425816482707,0
E03,020-000-033-111,0.0009050056231640902,27.05.2009 11:22:49:400,0.4430480906133341,0.32366126603549955,0.7462305232652795,0
E03,020-000-032-221,0.0009955196628541607,27.05.2009 11:22:49:427,0.4578811940439023,0.369160305827282,0.661355318941096,0
E03,010-000-024-033,0.0010859797930504733,27.05.2009 11:22:49:453,0.4142765844568614,0.3995725230896784,0.41286241411871977,0
E03,010-000-030-096,0.0011764938327405439,27.05.2009 11:22:49:480,0.46779592112065965,0.3372341232036551,0.4620137914753672,0
E03,020-000-032-221,0.001357494957373806,27.05.2009 11:22:49:533,0.4653517332123402,0.37609870043676796,0.6635170199602747,0
E03,010-000-024-033,0.0014480089970634324,27.05.2009 11:22:49:563,0.4040729332878822,0.385860564513044,0.43027815929145913,0
E03,010-000-030-096,0.001538523036753059,27.05.2009 11:22:49:590,0.43323449147343956,0.30544312857495753,0.5198299306437433,0
E03,020-000-033-111,0.0016289831669489274,27.05.2009 11:22:49:617,0.44041984535533907,0.31980056675062585,0.7393147471589985,0
E03,020-000-032-221,0.001719497206638998,27.05.2009 11:22:49:643,0.4614386451288936,0.36118713458432533,0.6613370062843932,0
E03,010-000-024-033,0.0018100112463286244,27.05.2009 11:22:49:670,0.4126732674605322,0.3854272853830437,0.4212213197225751,0
E03,010-000-030-096,0.001900471376524937,27.05.2009 11:22:49:697,0.4721935223840155,0.3461208428737846,0.4752967861678226,0
E03,020-000-032-221,0.002081499455904634,27.05.2009 11:22:49:750,0.46164549567948343,0.3689727540226944,0.6607565627950897,0
E03,010-000-024-033,0.0021719865408482697,27.05.2009 11:22:49:777,0.41290164992819123,0.3847006754643051,0.4250560059913387,0
E03,020-000-033-111,0.0023530146202275226,27.05.2009 11:22:49:833,0.4407269679716112,0.31811251289560116,0.7570868288235486,0
E03,020-000-032-221,0.0024434747504242793,27.05.2009 11:22:49:860,0.46545065390247414,0.37634691015137245,0.6610543192992738,0
E03,010-000-030-096,0.0026245028298039763,27.05.2009 11:22:49:913,0.4426899760930403,0.28692818498080874,0.5096443684673244,0
E03,020-000-032-221,0.0028054769996894713,27.05.2009 11:22:49:967,0.46524920885407745,0.3759502243585177,0.6633281625476214,0
E03,010-000-024-033,0.0028959910393790977,27.05.2009 11:22:49:993,0.3980022390040542,0.36235724523561896,0.4697090439907526,0
E03,010-000-030-096,0.0029864781243227334,27.05.2009 11:22:50:020,0.43756961414061346,0.28739899199447366,0.49987847351111986,0
E03,020-000-033-111,0.00307699216401236,27.05.2009 11:22:50:047,0.4449913686517585,0.3220806850301918,0.7559264367816092,0
E03,020-000-032-221,0.0031674792489551074,27.05.2009 11:22:50:077,0.4656871896692745,0.37704443230969864,0.6616834098531471,0
E03,010-000-024-033,0.003257966333898299,27.05.2009 11:22:50:103,0.41247934506935435,0.392362438284291,0.4310557707336134,0
E03,010-000-030-096,0.0033484803735888136,27.05.2009 11:22:50:130,0.43785398860182295,0.2918658615154141,0.3975792289407704,0
E03,020-000-032-221,0.0035294545434743085,27.05.2009 11:22:50:183,0.4617814440596402,0.3622705660459558,0.6572279248477744,0
E03,010-000-024-033,0.003619968583163935,27.05.2009 11:22:50:210,0.41066521348749374,0.39823039746968025,0.4281684282504639,0
E03,010-000-030-096,0.0037104826228544496,27.05.2009 11:22:50:237,0.47127008242602547,0.34305436210740364,0.4867538601803914,0
E03,020-000-033-111,0.003800969707797197,27.05.2009 11:22:50:263,0.4469077092709205,0.323829221567761,0.7540860538569244,0
E03,020-000-032-221,0.0038914567927399446,27.05.2009 11:22:50:290,0.4544472586840237,0.36318329674492444,0.6591508970727101,0
E03,010-000-024-033,0.003981970832430015,27.05.2009 11:22:50:320,0.4057799007887641,0.368540672280422,0.43097410455537105,0
E03,010-000-030-096,0.004072457917374095,27.05.2009 11:22:50:347,0.469372480881133,0.34109152237113255,0.47199442870632674,0
E03,020-000-032-221,0.004253485996752904,27.05.2009 11:22:50:400,0.4462088228832025,0.3615717588861657,0.6559140633649181,0
E03,010-000-024-033,0.004343946126949216,27.05.2009 11:22:50:427,0.4104984537448361,0.37779177747933373,0.4394833923512748,0
E03,010-000-030-096,0.004434460166639287,27.05.2009 11:22:50:453,0.47236352542798915,0.34662377492404994,0.4816974178633063,0
E03,020-000-033-111,0.004524974206328913,27.05.2009 11:22:50:480,0.45029227437743524,0.3236758391202844,0.7500290840415487,0
E03,010-000-024-033,0.0047059483762152965,27.05.2009 11:22:50:533,0.41434437846353334,0.38212068457036574,0.44116090488749965,0
E03,010-000-030-096,0.004796462415904923,27.05.2009 11:22:50:563,0.44605161286108613,0.2974150235194147,0.46329557161928964,0
E03,020-000-032-221,0.004977463540538185,27.05.2009 11:22:50:617,0.45058146874476684,0.36115191386238005,0.665759890592947,0
E03,010-000-024-033,0.0050679775802273674,27.05.2009 11:22:50:643,0.4602361911660355,0.4271546706504924,0.4322442024030478,0
E03,020-000-033-111,0.005248951750113751,27.05.2009 11:22:50:697,0.4543257249763819,0.33132089692123834,0.746368428250464,0
E03,020-000-032-221,0.005339465789803377,27.05.2009 11:22:50:723,0.4544317178652186,0.3628895278875052,0.6579738986031064,0
E03,010-000-024-033,0.005429925920000134,27.05.2009 11:22:50:750,0.47274609984570665,0.4345617111348177,0.44136802804776804,0
E03,010-000-030-096,0.00552043995968976,27.05.2009 11:22:50:777,0.43556489356059414,0.3234020169901361,0.5133871316466413,0
E03,020-000-032-221,0.005701441084323022,27.05.2009 11:22:50:833,0.45793263640644005,0.35443118097814963,0.6622903064048713,0
